"","s1.bam","s2.bam","s3.bam","s5.bam","s6.bam","s7.bam"
"WBGene00021406",31.9291024961083,0,77.7220158722454,62.1654337101123,27.75582947211,51.2286526320652
"WBGene00021408",0,0,0,0,0,43.7151169126956
"WBGene00001492",160.508461196653,80.4423000199615,228.594164330134,158.239285807559,235.924550512935,90.8454773341956
"WBGene00235257",80.2542305983263,153.401595386903,35.4320954711707,35.7922194088525,55.5116589442201,59.4252370531956
"WBGene00235260",12.0812820255545,0,30.860212184568,15.0704081721484,16.9618957885117,25.955850666913
"WBGene00235259",7.76653844499932,33.6735209385885,10.286737394856,5.65140306455566,0,19.8084123510652
"WBGene00235261",72.487692153327,82.3130511832164,58.291511904184,48.0369260487231,200.458768409684,68.9879188778478
"WBGene00006599",15371.7054800859,8347.29169044344,18618.9946846894,18420.7482889192,20420.5805388418,15882.9314620455
"WBGene00001111",5.17769229666622,0,29.7172413629174,26.3732143012598,58.5956399966767,4.09829221056522
"WBGene00023277",6.04064101277725,0,59.4344827258347,15.0704081721484,14.6489099991692,12.9779253334565
"WBGene00017928",487.566024602735,413.436007079337,386.324137717926,388.063010432822,313.024076824352,424.1732437935
"WBGene00017929",2703.61832757588,2435.7180145579,3924.96180154839,3113.92308857017,3087.83602877224,2550.50385237509
"WBGene00017926",3012.55396794363,3505.78767993972,1776.17665684514,2693.83546077153,2282.91697408105,2946.67209939639
"WBGene00000897",3991.13781201354,2570.41209831226,3057.44694791554,3502.92799951375,3655.28854242427,2901.59088508017
"WBGene00000674",2323.05794377091,2012.92825166229,1746.45941548222,2091.96103439635,3646.0365992669,2899.54173897489
"WBGene00021400",203.655897002205,407.823753589572,210.306631183723,289.163456803098,316.879053139923,446.030802249848
"WBGene00021397",128.579358700544,0,146.300265171285,81.0034439252978,134.924171044979,79.9166981060217
"WBGene00021396",117.361025391101,67.347041877177,177.160477355853,55.5721301347974,41.633744208165,90.1624286324347
"WBGene00006561",283.04717888442,168.367604692943,266.312201444606,227.939923603745,161.138009990861,191.936685194804
"WBGene00021395",2814.9387119542,2445.07177037418,2309.944030556,2080.65822826724,2951.36986720103,2649.54591413041
"WBGene00196851",5.17769229666622,0,17.14456232476,14.1285076613892,9.25194315737001,12.9779253334565
"WBGene00021402",463.403460551626,87.9253046729811,358.89283799831,442.69324005686,382.413650504627,506.139088004804
"WBGene00000815",812.897690576596,1131.80445376923,732.644296678078,778.009821887163,892.041519423092,969.246107798673
"WBGene00044736",153.604871467764,383.503988467258,74.2931034072934,183.670599598059,188.122844199857,95.6268182465217
"WBGene00195063",402.997050423854,200.170374468276,348.606100603454,319.304273147395,648.407016279015,634.552243935848
"WBGene00021394",1970.1119188815,1696.77130507221,1805.89389820805,1860.25350874957,2087.85517251317,2202.14901447704
"WBGene00021401",360.712563334413,284.354176814748,236.594960081688,213.811415942356,235.153555249821,379.092029477282
"WBGene00019821",573.860896213839,1040.13764676973,948.665781970054,947.551913823833,480.330048920126,661.191143304521
"WBGene00019822",464.266409267737,654.762907139221,821.79602076683,616.002934036567,417.108437344765,602.448954953087
"WBGene00019823",1303.05256132766,718.368446689888,789.792837760611,896.689286242832,959.118107314024,971.295253903956
"WBGene00019820",459.088716971071,622.960137363888,352.035013068406,374.876403282192,380.871659978399,380.458126880804
"WBGene00019819",332.235255702749,250.680655876159,352.035013068406,306.117665996765,203.54274946214,227.455217686369
"WBGene00019824",158.782563764431,415.306758242592,472.046949341726,358.864094599285,218.191659461309,300.541428774782
"WBGene00019825",54.3657691149953,125.340327938079,64.0063660124374,16.954209193667,35.4657821032517,35.5185324915652
"WBGene00020647",610.104742290502,750.171216465222,614.918302048059,632.957143230234,660.742940488842,686.463945269674
"WBGene00003932",2471.48512294201,2205.61562147755,2221.9352772889,2136.23035840204,2888.91925088879,2743.12358627165
"WBGene00020651",28.4773076316642,280.612674488238,48.004774509328,38.6179209411304,9.25194315737001,25.2728019651522
"WBGene00005487",30.2032050638863,78.5715488567066,5.71485410825334,19.7799107259448,8.48094789425584,8.19658442113043
"WBGene00020649",158.782563764431,362.925725671454,200.019893788867,113.969961801873,224.359621566223,286.880454739565
"WBGene00206487",1705.18666303541,1141.1582095855,1416.14084802518,1240.48297266997,1331.50881939817,1448.06324773304
"WBGene00020648",42.2844870894408,0,205.73474789712,56.5140306455566,42.4047394712792,23.9067045616304
"WBGene00019298",6243.43396106335,1876.36341674468,4296.42731858486,2526.17716985638,3289.83678770815,3122.89866445069
"WBGene00019300",245.077435375534,188.945867488747,152.015119279539,201.566709302485,316.108057876809,271.170334599065
"WBGene00019299",4.31474358055518,0,2.28594164330134,12.2447066398706,15.4199052622834,15.7101201405
"WBGene00001099",771.476152203266,187.075116325492,1436.71432281489,329.665178765747,1474.9139383374,672.802971234456
"WBGene00017578",216.60012774387,71.0885442036869,347.463129781803,97.9576531189648,232.840569460479,131.828399439848
"WBGene00000675",76.8024357338822,0,134.870556954779,97.0157526082056,90.9774410474718,226.089120282848
"WBGene00017574",318.428076244972,187.075116325492,268.598143087907,107.376658226558,141.092133149893,243.84838652863
"WBGene00017576",104.416794649435,531.293330364397,241.166843368291,148.820280699966,117.962275256468,99.042061755326
"WBGene00022048",5830.08152604616,11220.765477203,7162.99813928473,6782.62557797756,8395.36742005017,5353.73572440169
"WBGene00004981",437.514999068295,286.224927978002,617.20424369136,252.429336883486,482.643034709469,441.932510039282
"WBGene00020295",201.067050853871,86.0545535097262,91.4376657320534,145.052678656929,57.0536494704484,136.609740352174
"WBGene00004493",15342.3652237381,15224.1729665685,7300.15463788281,8169.10312981521,11882.5789951156,16208.7456927854
"WBGene00044789",441.82974264885,177.721360509217,282.313792947715,276.918750163228,330.756967875978,231.553509896935
"WBGene00020300",60.4064101277725,0,52.5766577959307,33.908418387334,64.7636021015901,71.0370649831304
"WBGene00001338",714.521536939938,768.878728097771,758.932625576043,818.511543849812,752.491376799428,979.491838325087
"WBGene00020298",884.522434013812,1073.81116770832,1266.41167038894,1426.03737328955,1030.04967152053,996.568055869108
"WBGene00045249",105.279743365546,329.252204732866,53.7196286175814,109.260459248076,136.466161571208,129.096204632804
"WBGene00020297",11660.1630520923,17250.1964763736,12517.8164387181,14007.944396012,13528.6538818643,12841.3155931043
"WBGene00020296",491.880768183291,469.558541976984,262.883288979654,379.585905835989,636.071092069188,543.023717899891
"WBGene00001666",171.726794506096,7.48300465301967,65.149336834088,60.2816326885937,66.3055926278184,81.2827955095434
"WBGene00002187",2354.12409755091,2252.38440055892,2837.99655015861,2515.81626423803,2892.00323194124,2386.57216395248
"WBGene00020299",372.793845359968,439.626523364906,243.452785011592,288.221556292339,264.451375248159,390.703857407217
"WBGene00001332",333.09820441886,248.809904712904,452.616445373664,453.054145675212,317.650048403037,402.315685337152
"WBGene00000913",493.606665615513,233.843895406865,744.074004894585,596.223023310622,489.581992077496,429.637633407587
"WBGene00022046",650.663331947721,402.211500099807,504.050132347944,451.170344653694,579.788437861854,576.493104286174
"WBGene00022047",622.186024316057,492.007555936043,441.186737157158,293.872959356895,296.06218103584,521.849208145304
"WBGene00002041",477.210640009403,503.232062915573,1056.10503920522,422.913329330915,379.32966945217,461.740922390348
"WBGene00022045",593.708716684393,856.804032770752,293.743501164222,414.436224734082,335.382939454663,571.711763373848
"WBGene00022044",782.69448551271,450.851030344435,474.332890985027,629.189541187197,597.52132891348,852.444779797565
"WBGene00235263",9.4924358772214,0,6.85782492990401,1.88380102151855,12.3359242098267,25.2728019651522
"WBGene00235264",27.6143589155532,5.61225348976475,36.5750662928214,7.53520408607422,33.1527963139092,25.955850666913
"WBGene00019772",261.473460981644,828.742765321929,275.455968017811,323.071875190432,204.313744725254,726.080769971804
"WBGene00019773",8.62948716111036,0,18.2875331464107,16.0123086829077,35.4657821032517,2.73219480704348
"WBGene00019774",2596.61268677811,1631.29501435829,3009.44217340621,2539.36377700701,3048.51527035342,2445.31435230391
"WBGene00021011",819.801280305484,175.850609345962,378.323341966371,369.225000217637,513.482845234036,557.367740636869
"WBGene00021012",58.6805126955504,0,20.573474789712,16.0123086829077,66.3055926278184,36.2015811933261
"WBGene00000213",159.645512480542,166.496853529688,93.7236073753547,46.1531250272046,78.6415168376451,130.462302036326
"WBGene00001625",11.2183333094435,0,6.85782492990401,12.2447066398706,15.4199052622834,21.8575584563478
"WBGene00018924",926.806921103253,463.94628848722,977.240052511321,967.331824549778,954.49213573534,655.726753690434
"WBGene00001165",2738.13627622032,1629.42426319503,2264.22519768997,2474.37264176462,2078.6032293558,2135.89329040624
"WBGene00018927",21.5737179027759,0,18.2875331464107,6.59330357531494,16.1909005253975,15.0270714387391
"WBGene00018925",591.11987053606,224.49013959059,518.908753029403,397.482015540415,373.932702610371,430.320682109348
"WBGene00001579",1051.93448493935,654.762907139221,1538.4387259418,1254.61148033136,1124.88208888357,881.132825271521
"WBGene00189987",60.4064101277725,97.2790604892557,116.583023808368,109.260459248076,46.2597157868501,79.9166981060217
"WBGene00015996",907.82204934881,1230.95426542174,1312.13050325497,1127.45491137885,913.629386790289,777.99247130563
"WBGene00015994",4.31474358055518,0,36.5750662928214,16.954209193667,3.08398105245667,11.6118279299348
"WBGene00044457",44.8733332377739,72.9592953669418,40.0039787577734,16.0123086829077,57.8246447335626,75.1353571936956
"WBGene00002140",543.657691149953,634.184644343417,227.451193508483,251.487436372727,584.414409440539,400.94958793363
"WBGene00015993",1693.96832972596,918.538821158165,883.516445135966,1195.27174815352,1149.55393730322,1142.74047804593
"WBGene00019665",4726.37011814014,3049.32439610552,4922.77532884943,5155.96339589628,4505.6963176392,4846.23053899337
"WBGene00019658",42.2844870894408,168.367604692943,37.718037114472,27.315114812019,89.4354505212434,66.9387727725652
"WBGene00004427",22746.4652079708,19163.9749163834,10324.4554319705,12050.6751346542,17512.3864063752,21130.1115889725
"WBGene00019664",1277.16409984433,1470.41041431837,870.943766097809,1061.52187562571,1129.50806046226,1151.62011116883
"WBGene00019663",3935.04614546632,6440.99625508668,3761.51697405235,8232.21046403608,4511.09328448099,6100.99100412808
"WBGene00019662",18.9848717544428,0,9.14376657320534,28.2570153227783,30.8398105245667,0
"WBGene00044723",12.0812820255545,0,25.1453580763147,8.4771045968335,1.54199052622834,18.4423149475435
"WBGene00019659",26.7514101994421,0,12.5726790381573,2.82570153227783,69.3895736802751,15.7101201405
"WBGene00019660",57.8175639794394,28.0612674488238,38.8610079361227,10.360905618352,98.6873936786134,30.0541428774782
"WBGene00019661",9.4924358772214,0,26.2883288979654,3.76760204303711,5.39696684179917,18.4423149475435
"WBGene00018256",23.299615334998,0,5.71485410825334,7.53520408607422,0,14.3440227369783
"WBGene00235287",46.5992306699959,74.8300465301967,80.0079575155467,40.5017219626489,31.6108057876809,30.7371915792391
