"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00023193",31.164312793826,-3.12263378339208,1.70494524133929,-1.83151558635347,0.0670236234625073,0.983828010854893
"WBGene00022277",231.406048511837,-0.606710710396794,0.442831890517127,-1.37007005003252,0.170665035917681,0.99997829941545
"WBGene00022276",11211.2135513954,0.569530195948835,0.302483601082972,1.88284652096763,0.0597211704493428,0.964384048655424
"WBGene00022278",1070.70352261644,0.582820253696377,0.371183344958199,1.57016811668102,0.116376004923811,0.99997829941545
"WBGene00022279",3158.2708193322,-0.128062440254945,0.274893928660824,-0.4658612901304,0.64131479081075,0.99997829941545
"WBGene00044345",482.473925913131,0.16947228789605,0.319676364683297,0.530137059284773,0.596016906181573,0.99997829941545
"WBGene00021677",338.6900335895,0.292483516544937,0.399798984915489,0.731576436110171,0.464427135074129,0.99997829941545
"WBGene00000812",1855.90599167062,-0.0727975454270618,0.256247750270228,-0.284090476307763,0.776341045227141,0.99997829941545
"WBGene00021683",633.323482226838,-0.374522041933339,0.37418086093416,-1.00091180772402,0.316869447484526,0.99997829941545
"WBGene00021679",194.686762265514,0.417736908120389,0.435166598808409,0.959947085241039,0.337081847009394,0.99997829941545
"WBGene00021682",373.017438430721,-0.235607364964431,0.389144665662586,-0.605449298818651,0.544880503129023,0.99997829941545
"WBGene00021676",199.582579631369,-0.764698214442821,0.709096999870158,-1.07841129575057,0.280850248277161,0.99997829941545
"WBGene00189949",20.9947629050485,1.08846502644431,1.20140171109028,0.905995901617718,0.364938021697542,0.99997829941545
"WBGene00021681",930.410712889225,-0.0971959764109807,0.275674062357548,-0.352575703277148,0.724406555243405,0.99997829941545
"WBGene00004274",8769.79820409229,-0.190020911081469,0.246904623154262,-0.769612608520281,0.44152972351816,0.99997829941545
"WBGene00004418",24308.1211852772,-0.158282244863082,0.302781979932453,-0.522759792040443,0.601141423371106,0.99997829941545
"WBGene00018774",164.045749922182,-0.0541013264087184,0.463210196390107,-0.116796492888847,0.907021323000516,0.99997829941545
"WBGene00018773",10.4996183517432,0.327348915752122,1.68272455151851,0.194535056528841,0.845756948861394,0.99997829941545
"WBGene00003229",1083.96775228594,-0.252809234374558,0.355109003905904,-0.711920090997037,0.476514260230623,0.99997829941545
"WBGene00018772",216.372786004564,-0.77264428920262,0.453312476389103,-1.70444082050682,0.0882987632276451,0.99997829941545
"WBGene00000253",115.958860525065,0.978587809808007,0.648103603097699,1.50992496435865,0.131062571799586,0.99997829941545
"WBGene00004225",174.944852014719,0.205406392150175,0.463268575446352,0.44338511834581,0.657487198097736,0.99997829941545
"WBGene00018958",130.586180875594,-0.994549880782773,0.869136528975281,-1.14429649154817,0.252500697819866,0.99997829941545
"WBGene00018957",36.4209215162015,-0.694102787911782,1.14413627805548,-0.606660938233205,0.544075950152165,0.99997829941545
"WBGene00018955",147.397768265784,0.0830784039835246,0.640307620613061,0.12974764208488,0.89676608818795,0.99997829941545
"WBGene00000227",480.951765827416,-0.0270627993912596,0.431754792216544,-0.0626809473319903,0.950020569381955,0.99997829941545
"WBGene00021666",66.7461036083414,0.297203088614047,0.739782557319641,0.401743844422156,0.687872553628646,0.99997829941545
"WBGene00004246",43.8365156487844,-2.73918395575725,1.0169199211853,-2.69360831535734,0.00706831746548429,0.424878444151487
"WBGene00021662",5.51470290275318,0.360386580070185,2.83396879744257,0.127166742412762,0.898808427346981,0.99997829941545
"WBGene00021664",5.13474565132981,0.479504258650319,2.89453706170057,0.165658358635286,0.868425818166069,0.99997829941545
"WBGene00021673",17.4803714896458,1.10278430304854,1.41779331560284,0.77781739475873,0.436676671732237,0.99997829941545
"WBGene00021675",105.19205927984,-0.317932289629067,0.616149913570727,-0.515998270269289,0.605855617316478,0.99997829941545
"WBGene00016904",176.013376177752,-0.385606747966903,0.423761771695373,-0.909961147330915,0.362843000114298,0.99997829941545
"WBGene00016903",1411.9954712931,-0.175661515332251,0.263789895464858,-0.665914496166335,0.505465754288312,0.99997829941545
"WBGene00016905",490.815891290424,-0.356855947554614,0.376070805656039,-0.948906275593753,0.342668282505632,0.99997829941545
"WBGene00016902",1503.92610618734,-0.190351766630519,0.255916299702102,-0.743804778562744,0.456994588809033,0.99997829941545
"WBGene00016906",173.846802598888,-1.21342082369196,0.52306612941916,-2.31982297351084,0.0203504557643944,0.698613746232043
"WBGene00002077",4316.31671965093,-0.319983820640032,0.245649807201344,-1.30260155416186,0.19271082691655,0.99997829941545
"WBGene00235385",41.8153601794908,1.40622177242935,0.929166509330239,1.51342279161889,0.130172299279916,0.99997829941545
"WBGene00002079",560.47970532868,-0.290524941609192,0.314580256610487,-0.923532025625242,0.355730018820584,0.99997829941545
"WBGene00021660",446.426641125725,-0.974776440895303,0.45434383378138,-2.14545982231673,0.0319161004838009,0.817766017096285
"WBGene00000917",952.397606361864,0.0125876748338591,0.293489684209618,0.0428896670346638,0.965789485684199,0.99997829941545
"WBGene00021661",15.5277767342976,0.18848117480278,1.50155155912973,0.125524277642534,0.900108506260157,0.99997829941545
"WBGene00021658",5.76520594326994,-1.03020033223469,2.45641611133817,-0.419391619961925,0.674929947492459,0.99997829941545
"WBGene00021657",124.641536412947,-0.213477300550114,0.602300610862342,-0.354436466940435,0.723011809382472,0.99997829941545
"WBGene00020091",9.63036677039656,0.251436830746982,1.796295221338,0.139975226655502,0.888679563927868,0.99997829941545
"WBGene00020088",142.155713233032,0.336825147968255,0.525967942148077,0.640391021917888,0.521918418258583,0.99997829941545
"WBGene00020089",208.318754095543,-0.462587518358199,0.523344235066678,-0.88390678135446,0.376746536207493,0.99997829941545
"WBGene00004143",6573.61350855198,0.0744662157388375,0.289302257128881,0.257399359679602,0.796870497139638,0.99997829941545
"WBGene00006385",1003.65550715889,-0.204709484544027,0.288839740893527,-0.708730328834799,0.478491840165682,0.99997829941545
"WBGene00020090",1573.65523329715,0.266645054267115,0.291499740704874,0.914735133631137,0.360330695307058,0.99997829941545
"WBGene00021733",2051.7784623585,0.0885644929034407,0.253454795059131,0.349429147248047,0.72676715439593,0.99997829941545
"WBGene00021734",371.767707377521,-0.408470236174051,0.42996259738163,-0.950013416658886,0.342105435413014,0.99997829941545
"WBGene00015570",325.564375357802,-0.49789445743652,0.43214260203516,-1.15215314364218,0.249258148252376,0.99997829941545
"WBGene00006593",5511.68680205432,-0.394169691154117,0.276194368618463,-1.42714600998482,0.153537812843938,0.99997829941545
"WBGene00021026",584.813784809148,0.0457792248048693,0.396062046054965,0.115585992803047,0.90798066461595,0.99997829941545
"WBGene00021027",1046.70460336155,-0.0291814769846745,0.309140379521087,-0.0943955526931866,0.924794948469206,0.99997829941545
"WBGene00235387",245.537920208335,0.561130948733313,0.48822433683717,1.14933014681007,0.250419871678923,0.99997829941545
"WBGene00021025",115.56820573622,1.88315244066106,0.861147756079984,2.18679364530115,0.0287575915897452,0.797287468831444
"WBGene00021028",12.3267973700709,-0.831733664522599,1.55443180751583,-0.535072468603053,0.592599746804686,0.99997829941545
"WBGene00021024",715.961987946813,0.187365462877331,0.343323829341182,0.545739756068998,0.58524483972791,0.99997829941545
"WBGene00001814",1066.36632994716,-1.08629519958952,0.370081835154797,-2.93528375726722,0.00333242792456183,0.304522272019641
"WBGene00022034",35.0242055672686,0.858525104256385,0.914538584108324,0.938752196107119,0.347857987786772,0.99997829941545
"WBGene00022039",12.3650516232489,-0.788904872542878,1.58508915887344,-0.497703784122511,0.61869284052281,0.99997829941545
"WBGene00022037",3009.41898702063,-0.354691961124259,0.251412843779971,-1.41079491322518,0.158305094823612,0.99997829941545
"WBGene00022038",12.8428804940481,4.81302388722994,2.30343079947385,2.08950227127697,0.0366625337093347,0.861089370201915
"WBGene00022033",18.3990662048012,1.32918802585474,1.52636329122725,0.870820225757674,0.383852319911646,0.99997829941545
"WBGene00022043",10.8254334691573,2.65882555077864,2.43566329092362,1.09162278738881,NA,NA
"WBGene00022042",7765.27221875382,0.391410366312921,0.374293848678704,1.0457301601259,0.295685633870707,0.99997829941545
"WBGene00007009",7253.71893771842,-0.279050663507196,0.244270531700868,-1.14238365784097,0.253294581116519,0.99997829941545
"WBGene00004235",2095.32999461348,-0.290231682532264,0.304093252116192,-0.954416714322119,0.339872748987288,0.99997829941545
"WBGene00002393",21.1185940818185,-0.111482258254515,1.40957756068604,-0.0790891266744178,0.936961732078555,0.99997829941545
"WBGene00022040",35.7254070311505,-0.229522621818545,1.30086483279613,-0.176438486176308,0.859949471306079,0.99997829941545
"WBGene00000434",170.353284735917,-0.118241395977273,0.443339271379504,-0.26670634344968,0.789695269421239,0.99997829941545
"WBGene00001725",13.5489548151168,2.08897332627848,1.83204573107935,1.14024081977897,0.254185985625316,0.99997829941545
"WBGene00002040",553.567946578855,0.0429670703306195,0.378609531830183,0.113486499198576,0.90964486601008,0.99997829941545
"WBGene00018923",152.809980846317,0.925486726869915,0.552257064650309,1.67582596241831,0.0937722871679614,0.99997829941545
"WBGene00018921",32.4824449020395,-0.852402627780993,0.966890695048233,-0.881591509926022,0.377997747979521,0.99997829941545
"WBGene00022028",14.7941928016962,-0.3668290450162,1.49681439180061,-0.245073168073243,0.806399778279155,0.99997829941545
"WBGene00022029",1880.17865923693,0.199348639456922,0.321171162842785,0.620692834600796,0.534801744853507,0.99997829941545
"WBGene00022027",980.878759557248,0.209186287272971,0.278859576087686,0.750149197699394,0.453164851757203,0.99997829941545
"WBGene00022026",663.293887032326,-0.316738812705816,0.366982919222763,-0.863088705536052,0.388088697299361,0.99997829941545
"WBGene00022025",387.249360112465,0.103456120072743,0.405685271752026,0.255015716064695,0.798710960787774,0.99997829941545
"WBGene00022031",340.324233329395,-0.0462269257662101,0.47530601545822,-0.097257186449965,0.922522155022736,0.99997829941545
"WBGene00021215",105.35989482399,-1.15081627470901,0.988851786314342,-1.16379045943613,0.244508939440836,0.99997829941545
"WBGene00021214",14.781111796165,2.41046353300747,1.56719901808673,1.53807110978809,0.124031228927778,0.99997829941545
"WBGene00021210",1115.32955099096,0.0640929902780538,0.285385351502667,0.224584022762832,0.822302895385104,0.99997829941545
"WBGene00021208",1086.61495099161,0.133401821517741,0.301419340746817,0.442578837798582,0.658070394414179,0.99997829941545
"WBGene00021209",2145.33003058647,-0.325286732606943,0.24478434719716,-1.32887064198163,0.183890651054213,0.99997829941545
"WBGene00004332",12.9218026781349,0.641832927674746,1.92634372036107,0.333187125895913,0.738993035521529,0.99997829941545
"WBGene00004028",140.070151798509,0.596661165154515,0.572350305543988,1.04247548987926,0.297191283265012,0.99997829941545
"WBGene00044434",23.0151720170751,-0.512063692995938,1.30310484933854,-0.392956632197219,0.69435151257131,0.99997829941545
"WBGene00236789",38.8790831445057,-0.554987693151922,1.15231069559712,-0.481630254125454,0.630068630240972,0.99997829941545
"WBGene00020283",25.38326832355,2.8246130838486,1.53079832532741,1.84518955705315,0.0650099690777432,0.977871171408224
"WBGene00201667",15.9829532714295,-1.11526144422455,1.45873451136375,-0.764540384515829,0.444545280082074,0.99997829941545
"WBGene00022518",19068.0354192036,-0.368482762240017,0.315968260015012,-1.166201827432,0.243532853901461,0.99997829941545
"WBGene00022517",58.6469676831966,-0.356358103851692,0.722859725044,-0.492983758128177,0.622024063603,0.99997829941545
"WBGene00022519",6383.37953851196,-0.240142394799401,0.28696670657835,-0.836830159368451,0.402688042210407,0.99997829941545
"WBGene00022388",1419.42363591706,-0.0407142116621569,0.329538491711488,-0.123549183740885,0.901672229595713,0.99997829941545
"WBGene00022389",12325.3308989872,-0.349206881150733,0.266929758262734,-1.30823510808044,0.190793577509326,0.99997829941545
"WBGene00022386",322.03427827364,-0.192278457412412,0.366227107690808,-0.52502519167627,0.599565678643057,0.99997829941545
"WBGene00022390",125.445716572436,0.033254085980272,0.498115507671375,0.0667597885794212,0.94677293602202,0.99997829941545
"WBGene00001678",420.355082186083,-0.324896750022733,0.339848596003404,-0.956004390906706,0.339070016114385,0.99997829941545
"WBGene00022391",14047.9106510483,-0.312542289017742,0.287586986516417,-1.08677479743994,0.277136348422967,0.99997829941545
"WBGene00022383",119.520403842836,0.905579207593613,0.690521034842492,1.31144333322181,0.189708026792781,0.99997829941545
"WBGene00003548",18.1283097123429,-2.11150957343512,1.37583515822469,-1.53471116129908,0.124854792997908,0.99997829941545
"WBGene00003238",3272.54727972775,-0.435459685966132,0.315941646502006,-1.37829150030516,0.168113306394676,0.99997829941545
"WBGene00018787",230.47598152368,0.770501716245279,0.532471557721561,1.44702886956488,0.147888838078449,0.99997829941545
"WBGene00018788",1578.57351240912,-0.118261670190009,0.306716198743083,-0.385573604115605,0.6998124852371,0.99997829941545
"WBGene00018786",248.676064042265,-1.22791465455615,0.555593175393921,-2.21009671993459,0.0270984504651144,0.787720558137098
"WBGene00016932",2085.95365895012,-0.336012133547187,0.262134586380678,-1.28183059773434,0.199902078142747,0.99997829941545
"WBGene00016931",335.526186438072,-0.319951169779066,0.373451975190303,-0.856739797978109,0.391588703393077,0.99997829941545
"WBGene00016930",7.40661788420584,2.01727139676844,2.61734057909969,0.770733244605996,0.440865062479495,0.99997829941545
"WBGene00005002",65.6470417733823,-0.173778284133962,0.878714130886755,-0.197764299020199,0.843229479705439,0.99997829941545
"WBGene00021335",40.1523595685164,-1.44776963075001,1.21327591575535,-1.19327319692873,0.232762396027203,0.99997829941545
"WBGene00021327",1394.86193361884,0.19196794660929,0.287779786697529,0.667065428090883,0.504730341878067,0.99997829941545
"WBGene00004952",66.8304978517086,1.26227987745262,0.720563755383788,1.75179485232407,0.0798090896906475,0.99997829941545
"WBGene00021329",325.417389643761,-0.157745362057633,0.435473112747291,-0.362239039426469,0.71717340843517,0.99997829941545
"WBGene00021332",414.32956977001,0.452882124257085,0.399127316770796,1.13468085302004,0.256509062574761,0.99997829941545
"WBGene00021331",804.963414971035,0.127859767369542,0.338827122045994,0.377359895505018,0.705906166312165,0.99997829941545
"WBGene00021333",2284.63055572842,0.181862254282485,0.296694147239347,0.612962055283733,0.539901429638356,0.99997829941545
"WBGene00021334",4170.71953914166,-0.216714265207921,0.245256861159466,-0.883621620954422,0.376900503607863,0.99997829941545
"WBGene00021328",3046.0295278593,-0.464813613879006,0.321832862136598,-1.44427020532702,0.148662983369233,0.99997829941545
"WBGene00001745",7104.17791360806,-0.054160110752683,0.267469578940841,-0.202490731720418,0.839533103356546,0.99997829941545
"WBGene00019909",44.1353469575152,-0.368658273862092,1.12921220388821,-0.326473866110101,0.744065858884293,0.99997829941545
"WBGene00019911",335.789809459348,-0.572430430390348,0.402486700180553,-1.42223439963,0.154958215589614,0.99997829941545
"WBGene00022838",88.7818892970906,-0.128876542475406,0.610086587577874,-0.211243035168275,0.832697631143141,0.99997829941545
"WBGene00236809",50.7485826051006,-0.733261877351966,1.08647472541048,-0.67490007839339,0.499739250715318,0.99997829941545
"WBGene00022837",515.795009053217,-0.0326542743122257,0.349619563903347,-0.0933994480962545,0.925586228958001,0.99997829941545
